2025-11-12 23:40:33 [main] INFO  : Initializing Spring embedded WebApplicationContext
2025-11-12 23:40:33 [main] INFO  : Root WebApplicationContext: initialization completed in 2373 ms
2025-11-12 23:40:33 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2025-11-12 23:40:33 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2025-11-12 23:40:33 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2025-11-12 23:40:33 [main] INFO  : Successfully validated 1 migration (execution time 00:00.042s)
2025-11-12 23:40:33 [main] INFO  : Current version of schema `shopping_list_db`: 2
2025-11-12 23:40:33 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2025-11-12 23:40:34 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-11-12 23:40:34 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2025-11-12 23:40:34 [main] INFO  : HHH000026: Second-level cache disabled
2025-11-12 23:40:34 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-11-12 23:40:34 [main] INFO  : HikariPool-1 - Starting...
2025-11-12 23:40:34 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@4c599679
2025-11-12 23:40:34 [main] INFO  : HikariPool-1 - Start completed.
2025-11-12 23:40:34 [main] WARN  : HHH90000025: MariaDBDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-11-12 23:40:35 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-11-12 23:40:35 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-11-12 23:40:35 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-11-12 23:40:35 [main] INFO  : Global AuthenticationManager configured with UserDetailsService bean with name userDetailService
2025-11-12 23:40:36 [main] INFO  : Exposing 1 endpoint beneath base path '/actuator'
2025-11-12 23:40:37 [main] INFO  : Starting ProtocolHandler ["https-jsse-nio-443"]
2025-11-12 23:40:37 [main] INFO  : Connector [https-jsse-nio-443], TLS virtual host [_default_], certificate type [UNDEFINED] configured from keystore [C:\Users\kjerz\.keystore] using alias [shopping_list_keystore] with trust store [null]
2025-11-12 23:40:37 [main] INFO  : Tomcat started on port 443 (https) with context path '/'
2025-11-12 23:40:37 [main] INFO  : Started ShoppingListServiceApplication in 6.793 seconds (process running for 7.845)
2025-11-12 23:42:36 [tomcat-handler-4] INFO  : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-12 23:42:36 [tomcat-handler-4] INFO  : Initializing Servlet 'dispatcherServlet'
2025-11-12 23:42:36 [tomcat-handler-4] INFO  : Completed initialization in 1 ms
