2026-03-09 19:38:53 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2026-03-09 19:38:54 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.3 with PID 20996 (C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService)
2026-03-09 19:38:54 [main] INFO  : The following 1 profile is active: "dev"
2026-03-09 19:38:55 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-09 19:38:55 [main] INFO  : Finished Spring Data repository scanning in 192 ms. Found 3 JPA repository interfaces.
2026-03-09 19:38:57 [main] INFO  : Tomcat initialized with port 5443 (http)
2026-03-09 19:38:57 [main] INFO  : Initializing ProtocolHandler ["http-nio-5443"]
2026-03-09 19:38:57 [main] INFO  : Starting service [Tomcat]
2026-03-09 19:38:57 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-03-09 19:38:57 [main] INFO  : Initializing Spring embedded WebApplicationContext
2026-03-09 19:38:57 [main] INFO  : Root WebApplicationContext: initialization completed in 3145 ms
2026-03-09 19:38:57 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2026-03-09 19:38:57 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2026-03-09 19:38:57 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2026-03-09 19:38:57 [main] INFO  : Successfully validated 1 migration (execution time 00:00.024s)
2026-03-09 19:38:57 [main] INFO  : Current version of schema `shopping_list_db`: 1
2026-03-09 19:38:57 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2026-03-09 19:38:58 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-09 19:38:58 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2026-03-09 19:38:58 [main] INFO  : HHH000026: Second-level cache disabled
2026-03-09 19:38:58 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-09 19:38:58 [main] INFO  : HikariPool-1 - Starting...
2026-03-09 19:38:58 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@1756a471
2026-03-09 19:38:58 [main] INFO  : HikariPool-1 - Start completed.
