2026-03-23 19:27:56 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2026-03-23 19:27:56 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.3 with PID 18660 (C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService)
2026-03-23 19:27:56 [main] INFO  : The following 1 profile is active: "dev"
2026-03-23 19:27:58 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-23 19:27:58 [main] INFO  : Finished Spring Data repository scanning in 202 ms. Found 3 JPA repository interfaces.
2026-03-23 19:28:00 [main] INFO  : Tomcat initialized with port 5443 (http)
2026-03-23 19:28:00 [main] INFO  : Initializing ProtocolHandler ["http-nio-5443"]
2026-03-23 19:28:00 [main] INFO  : Starting service [Tomcat]
2026-03-23 19:28:00 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-03-23 19:28:00 [main] INFO  : Initializing Spring embedded WebApplicationContext
2026-03-23 19:28:00 [main] INFO  : Root WebApplicationContext: initialization completed in 3111 ms
2026-03-23 19:28:01 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2026-03-23 19:28:01 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2026-03-23 19:28:01 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2026-03-23 19:28:01 [main] INFO  : Successfully validated 1 migration (execution time 00:00.035s)
2026-03-23 19:28:01 [main] INFO  : Current version of schema `shopping_list_db`: 1
2026-03-23 19:28:01 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2026-03-23 19:28:01 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-23 19:28:01 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2026-03-23 19:28:01 [main] INFO  : HHH000026: Second-level cache disabled
2026-03-23 19:28:01 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-23 19:28:01 [main] INFO  : HikariPool-1 - Starting...
2026-03-23 19:28:01 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@7ce760af
2026-03-23 19:28:01 [main] INFO  : HikariPool-1 - Start completed.
2026-03-23 19:28:01 [main] WARN  : HHH90000025: MariaDBDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-23 19:28:03 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-23 19:28:03 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-23 19:28:04 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-23 19:28:04 [main] INFO  : Global AuthenticationManager configured with AuthenticationProvider bean with name jwtAuthenticationProvider
2026-03-23 19:28:05 [main] INFO  : Exposing 0 endpoints beneath base path '/actuator'
2026-03-23 19:28:06 [main] INFO  : Starting ProtocolHandler ["http-nio-5443"]
2026-03-23 19:28:06 [main] INFO  : Tomcat started on port 5443 (http) with context path '/'
2026-03-23 19:28:06 [main] INFO  : Started ShoppingListServiceApplication in 9.904 seconds (process running for 11.158)
2026-03-23 19:28:20 [SpringApplicationShutdownHook] INFO  : Commencing graceful shutdown. Waiting for active requests to complete
2026-03-23 19:28:20 [tomcat-shutdown] INFO  : Graceful shutdown complete
2026-03-23 19:28:20 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-23 19:28:20 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2026-03-23 19:28:20 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
