2024-10-16 17:01:20 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.1.Final
2024-10-16 17:01:21 [main] INFO  : Starting ShoppingListServiceApplicationTests using Java 21.0.3 with PID 4272 (started by kjerz in C:\Users\kjerz\Desktop\projekty\ShoppingListService)
2024-10-16 17:01:21 [main] INFO  : No active profile set, falling back to 1 default profile: "default"
2024-10-16 17:01:21 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-10-16 17:01:22 [main] INFO  : Finished Spring Data repository scanning in 166 ms. Found 4 JPA repository interfaces.
2024-10-16 17:01:22 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-10-16 17:01:22 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2024-10-16 17:01:23 [main] INFO  : HHH000026: Second-level cache disabled
2024-10-16 17:01:23 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-10-16 17:01:23 [main] WARN  : HikariPool-1 - idleTimeout has been set but has no effect because the pool is operating as a fixed size pool.
2024-10-16 17:01:23 [main] INFO  : HikariPool-1 - Starting...
2024-10-16 17:01:23 [main] INFO  : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@37f71e8
2024-10-16 17:01:23 [main] INFO  : HikariPool-1 - Start completed.
2024-10-16 17:01:23 [main] WARN  : HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-10-16 17:01:24 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-10-16 17:01:24 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-10-16 17:01:25 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-10-16 17:01:25 [main] INFO  : Global AuthenticationManager configured with UserDetailsService bean with name userDetailService
2024-10-16 17:01:26 [main] INFO  : Exposing 1 endpoint beneath base path '/actuator'
2024-10-16 17:01:26 [main] INFO  : Started ShoppingListServiceApplicationTests in 5.944 seconds (process running for 6.81)
2024-10-16 17:01:27 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-10-16 17:01:27 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2024-10-16 17:01:27 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
